1054,16,64,1,2,15
5537,4,64,40,80,6
807,2,64,1,2,3
7337,16,64,40,80,15
7377,2,64,40,80,5
6886,2,64,40,80,5
7337,2,64,40,80,5
7337,4,64,40,80,9
559,2,64,1,2,1
1054,4,64,1,2,3
7205,2,64,40,80,5
7176,2,64,40,80,5
593,16,64,1,2,15
559,16,64,1,2,15
1822,16,64,40,80,15
3641,16,64,40,80,15
7205,4,64,40,80,9
481,4,64,1,2,3
6886,4,64,40,80,9
351,2,64,1,2,1
719,2,64,1,2,1
807,4,64,1,2,5
351,4,64,1,2,3
3641,4,64,40,80,6
7176,16,64,40,80,15
481,16,64,1,2,15
7176,4,64,40,80,9
1822,2,64,40,80,1
6886,16,64,40,80,15
593,2,64,1,2,1
321,4,64,1,2,3
1054,2,64,1,2,1
1822,4,64,40,80,3
7205,16,64,40,80,15
321,16,64,1,2,15
5537,2,64,40,80,4
5537,16,64,40,80,15
719,4,64,1,2,3
321,2,64,1,2,1
559,4,64,1,2,3
351,16,64,1,2,15
3641,2,64,40,80,2
7377,16,64,40,80,15
7377,4,64,40,80,9
807,16,64,1,2,16
